Mesh Name;Inertia Tensor;Center of Mass;Mass
torso_mid.obj;[[3.49680885e-05,-7.22360891e-23,-1.64695615e-21],[-7.22360891e-23,4.01549693e-05,5.55632487e-08],[-1.64695615e-21,5.55632487e-08,6.47631994e-05]];[-5.28097779e-18,2.28327505e-04,5.00779147e-02];1
forearm_sinister.obj;[[5.30099429e-06,9.17050572e-08,7.13339277e-11],[9.17050572e-08,9.88330510e-06,-2.20090970e-11],[7.13339277e-11,-2.20090970e-11,9.66523607e-06]];[,3.78275570e-02,-1.54910887e-03,-9.78923538e-07];1
shoulder_link_sinister.obj;[[8.97699860e-06,-5.50831472e-11,-5.28057508e-08],[-5.50831472e-11,9.36444764e-06,1.70906237e-10],[-5.28057508e-08,1.70906237e-10,1.13433115e-05]];[,1.73072374e-02,-8.19645924e-07,-9.40601582e-04];1
thigh_sinister.obj;[[3.18832340e-05,-3.20955860e-07,-1.23922686e-06],[-3.20955860e-07,2.76480046e-05,-5.69440600e-06],[-1.23922686e-06,-5.69440600e-06,2.48045802e-05]];[,0.00745779,-0.03795964,-0.13478093];1
backpack.obj;[[2.22803238e-04,-1.34253294e-08,-8.81825398e-09],[-1.34253294e-08,2.77012030e-04,9.48909997e-06],[-8.81825398e-09,9.48909997e-06,1.05777581e-04]];[,1.29304544e-05,7.16040483e-02,-6.51881607e-02];1
foot_dexter.obj;[[1.42180074e-05,-3.57379545e-12,1.49897664e-12],[-3.57379545e-12,3.86123636e-06,-1.87966945e-07],[1.49897664e-12,-1.87966945e-07,1.64091501e-05]];[,1.86287100e-08,-4.23979739e-02,-6.36363986e-02];1
wrist_rot_link_sinister.obj;[[1.11629122e-06,-8.30961813e-23,-4.99617090e-24],[-8.30961813e-23,7.14713554e-07,-4.91138489e-24],[-4.99617090e-24,-4.91138489e-24,7.14714437e-07]];[,2.75000000e-02,-6.50003735e-19,-7.45810407e-20];1
head.obj;[[8.75499152e-05,-1.10031686e-09,1.05895885e-09],[-1.10031686e-09,1.00606856e-04,1.46878504e-06],[1.05895885e-09,1.46878504e-06,1.02866286e-04]];[-9.32862767e-07,1.01059603e-02,1.06210103e-01];1
torso_lower.obj;[[4.33778921e-05,-9.08698218e-08,6.01561802e-08],[-9.08698218e-08,3.27528256e-05,8.25944578e-06],[6.01561802e-08,8.25944578e-06,4.48404768e-05]];[,0.00022738,0.028143,,-0.06227186];1
forearm_dexter.obj;[[5.30099429e-06,9.17050572e-08,-7.13339277e-11],[9.17050572e-08,9.88330510e-06,2.20090970e-11],[-7.13339277e-11,2.20090970e-11,9.66523607e-06]];[-3.78275570e-02,1.54910887e-03,-9.78923538e-07];1
